x [m],y [m],Tree species,dbh [mm]
145.24,123.98,Fagus sylvatica,86
10.54,123.9,Fagus sylvatica,169
121.7,123.13,Fagus sylvatica,138
11.83,122.49,Fagus sylvatica,621
113.47,122.39,Fagus sylvatica,273
153.49,122.34,Fagus sylvatica,253
68.04,121.92,Fagus sylvatica,593
50.31,121.18,Fagus sylvatica,285
52.89,121.02,Fagus sylvatica,198
26.67,120.52,Fagus sylvatica,622
25.79,119.98,Fagus sylvatica,168
67.67,119.83,Fagus sylvatica,218
44.74,119.05,Fagus sylvatica,258
37.23,118.99,Fagus sylvatica,622
97.45,117.95,Fagus sylvatica,82
112.23,117.73,Fagus sylvatica,375
16.92,117.62,Fagus sylvatica,132
36.38,117.61,Fagus sylvatica,212
31.16,116.88,Fagus sylvatica,492
17.24,116.31,Fagus sylvatica,439
41.94,115.94,Fagus sylvatica,192
64.44,115.73,Fagus sylvatica,555
69.74,115.66,Fagus sylvatica,247
56.66,115.48,Fagus sylvatica,180
73.6,114.46,Fagus sylvatica,202
18.18,113.92,Fagus sylvatica,195
141.17,113.82,Fagus sylvatica,70
73.78,113.54,Fagus sylvatica,609
115.88,113.2,Fagus sylvatica,185
37.94,112.96,Fagus sylvatica,583
85.59,111.74,Fagus sylvatica,77
21.69,111.57,Fagus sylvatica,578
94.88,110.96,Fagus sylvatica,80
63.95,110.35,Fagus sylvatica,169
106.58,110.19,Fagus sylvatica,209
120.38,109.67,Fagus sylvatica,377
121.77,109.39,Fagus sylvatica,85
64.93,109.11,Fagus sylvatica,460
36.81,108.8,Fagus sylvatica,678
51.68,107.53,Fagus sylvatica,273
51.32,107.36,Fagus sylvatica,176
59.67,107.28,Fagus sylvatica,563
61.25,106.76,Fagus sylvatica,206
89.82,106.27,Fagus sylvatica,100
93.6,105.74,Fagus sylvatica,105
109.06,105.71,Fagus sylvatica,231
6.57,104.84,Fagus sylvatica,637
108.21,104.5,Fagus sylvatica,162
79.99,104.24,Fagus sylvatica,103
94.13,104.08,Fagus sylvatica,87
119.2,104.01,Fagus sylvatica,628
87.85,102.74,Fagus sylvatica,74
70.01,101.95,Fagus sylvatica,669
89.09,101.9,Fagus sylvatica,90
71.9,101.59,Fagus sylvatica,221
72.17,100.58,Fagus sylvatica,262
148.28,99.87,Fagus sylvatica,76
122.95,99.4,Fagus sylvatica,73
122.84,99.37,Fagus sylvatica,73
108.52,98.83,Fagus sylvatica,115
19.67,98.23,Fagus sylvatica,533
100.23,97.37,Fagus sylvatica,87
47.93,96.54,Fagus sylvatica,531
83.25,96.53,Fagus sylvatica,349
121.19,96.48,Fagus sylvatica,74
53.62,96.26,Fagus sylvatica,651
6.76,94.83,Fagus sylvatica,535
128.12,94.82,Fagus sylvatica,73
98.77,94.81,Fagus sylvatica,77
76.23,94.75,Fagus sylvatica,83
37.56,94.56,Fagus sylvatica,561
151.21,94.29,Fagus sylvatica,684
30.41,92.99,Fagus sylvatica,615
127.91,92.87,Fagus sylvatica,73
98.84,92.74,Fagus sylvatica,106
53.39,91.97,Fagus sylvatica,222
24.73,91.81,Fagus sylvatica,84
32.54,91.33,Fagus sylvatica,72
8.09,91.03,Fagus sylvatica,168
8.34,90.98,Fagus sylvatica,560
122.02,90.92,Fagus sylvatica,90
152.9,90.64,Fagus sylvatica,301
128.54,89.73,Fagus sylvatica,81
35.01,89.41,Fagus sylvatica,75
97.5,89.28,Fagus sylvatica,77
91.99,88.15,Fagus sylvatica,649
37.46,88.06,Fagus sylvatica,573
53.05,87.57,Fagus sylvatica,644
93.69,86.62,Fagus sylvatica,98
20.9,86.38,Fagus sylvatica,554
19.47,85.31,Fagus sylvatica,102
14.16,85.2,Fagus sylvatica,597
67.97,84.9,Fagus sylvatica,585
15.93,83.99,Fagus sylvatica,188
117.98,83.98,Fagus sylvatica,105
43.43,83.68,Fagus sylvatica,71
79.33,83.25,Fagus sylvatica,723
36.53,82.8,Fagus sylvatica,75
59.99,82.45,Fagus sylvatica,522
9.35,81.74,Fagus sylvatica,436
131.4,79.94,Fagus sylvatica,81
34.79,79.64,Fagus sylvatica,377
45.77,78.7,Fagus sylvatica,552
40.06,78.38,Fagus sylvatica,663
44.72,78.36,Fagus sylvatica,97
72.67,78.15,Fagus sylvatica,547
19.09,76.99,Fagus sylvatica,78
92.38,76.11,Fagus sylvatica,89
14.85,75.47,Fagus sylvatica,525
82.46,74.74,Fagus sylvatica,640
156.2,74.73,Fagus sylvatica,711
61.65,74.6,Fagus sylvatica,491
130.99,74.06,Fagus sylvatica,85
77.11,74.01,Fagus sylvatica,93
149.76,73.53,Fagus sylvatica,349
99.82,73.2,Fagus sylvatica,594
64.08,72.52,Fagus sylvatica,206
117.44,72.42,Fagus sylvatica,243
144.22,72.3,Fagus sylvatica,501
10.95,72.29,Fagus sylvatica,493
83.84,72.11,Fagus sylvatica,125
71.66,71.65,Fagus sylvatica,110
34.3,70.26,Fagus sylvatica,573
149.54,69.74,Fagus sylvatica,262
119.12,69.59,Fagus sylvatica,446
86.48,68.72,Fagus sylvatica,486
77.36,68.5,Fagus sylvatica,485
14.13,68.39,Fagus sylvatica,215
79.28,68.38,Fagus sylvatica,90
25.41,67.63,Fagus sylvatica,642
10.28,67.41,Fagus sylvatica,126
141.32,65.99,Fagus sylvatica,212
130,65.55,Fagus sylvatica,334
117.38,64.5,Fagus sylvatica,74
139.56,64.25,Fagus sylvatica,583
84.61,64.22,Fagus sylvatica,113
18.32,64.19,Fagus sylvatica,214
10.9,64.19,Fagus sylvatica,615
38.26,63.93,Fagus sylvatica,91
135.94,60.36,Fagus sylvatica,265
104.85,60.21,Fagus sylvatica,171
26.33,58.8,Fagus sylvatica,422
147.18,58.49,Fagus sylvatica,200
32.81,57.9,Fagus sylvatica,664
41.31,57.73,Fagus sylvatica,533
45.81,57.69,Fagus sylvatica,289
14.79,57.66,Fagus sylvatica,571
133.05,57.65,Fagus sylvatica,584
50.47,57.45,Fagus sylvatica,228
131.61,56.29,Fagus sylvatica,264
95.45,55.34,Fagus sylvatica,105
23.45,54.36,Fagus sylvatica,207
130.96,52.68,Fagus sylvatica,77
128.27,51.89,Fagus sylvatica,543
20.4,51.58,Fagus sylvatica,562
26.32,48.7,Fagus sylvatica,533
123.84,47.83,Fagus sylvatica,587
5.75,46.74,Fagus sylvatica,558
117.87,45.62,Fagus sylvatica,641
42.33,45.59,Fagus sylvatica,439
6.35,45.45,Fagus sylvatica,245
35.93,42.69,Fagus sylvatica,600
49.2,41.47,Fagus sylvatica,590
107.83,41.33,Fagus sylvatica,300
89.49,40.41,Fagus sylvatica,651
75.98,40.23,Fagus sylvatica,698
16.02,39.41,Fagus sylvatica,643
144.74,38.07,Fagus sylvatica,272
41.94,36.4,Fagus sylvatica,294
11.51,36.05,Fagus sylvatica,574
88.52,35.03,Fagus sylvatica,562
57.3,35.02,Fagus sylvatica,599
64.39,34.49,Fagus sylvatica,625
4.74,34.16,Fagus sylvatica,169
4.93,33.56,Fagus sylvatica,580
54.21,32.11,Fagus sylvatica,541
25.04,30.33,Fagus sylvatica,601
14.02,29.77,Fagus sylvatica,575
57.83,29.4,Fagus sylvatica,494
53.51,28.93,Fagus sylvatica,260
140.94,28.68,Fagus sylvatica,676
6.75,27.8,Fagus sylvatica,261
130.71,27.61,Fagus sylvatica,577
104.75,26.12,Fagus sylvatica,625
42.71,25.87,Fagus sylvatica,590
110.99,24.12,Fagus sylvatica,607
33.33,23.46,Fagus sylvatica,646
24.42,23.34,Fagus sylvatica,614
80.04,23.2,Fagus sylvatica,724
140.23,22,Fagus sylvatica,605
136.86,16.41,Fagus sylvatica,620
34.81,14.61,Fagus sylvatica,247
40.45,14.43,Fagus sylvatica,362
86.84,13.48,Fagus sylvatica,652
88.68,11.62,Fagus sylvatica,300
44.15,11.08,Fagus sylvatica,262
39.94,10.71,Fagus sylvatica,204
56.54,10.63,Fagus sylvatica,255
133.94,9.6,Fagus sylvatica,618
132.89,8.03,Fagus sylvatica,256
68.95,7.84,Fagus sylvatica,306
100.25,7.15,Fagus sylvatica,637
39.82,7.15,Fagus sylvatica,325
140.86,6.88,Fagus sylvatica,447
50.51,6.71,Fagus sylvatica,301
74.71,6.45,Fagus sylvatica,555
129.12,5.85,Fagus sylvatica,708
85.57,5.01,Fagus sylvatica,312
79.49,2.5,Fagus sylvatica,632
74.97,148.22,Larix decidua,494
91.51,123.88,Larix decidua,679
103.99,116.59,Larix decidua,729
97.78,113.28,Larix decidua,699
100.69,49.76,Sorbus torminalis,318
48.25,8.09,Sorbus torminalis,625
118.52,152.35,Fraxinus excelsior,520
94.48,148.4,Fraxinus excelsior,546
42.65,145.13,Fraxinus excelsior,414
111.49,136.74,Fraxinus excelsior,115
113.83,135.44,Fraxinus excelsior,89
114.49,132.97,Fraxinus excelsior,77
114.73,131.81,Fraxinus excelsior,74
106.55,131.42,Fraxinus excelsior,544
121.51,130.85,Fraxinus excelsior,103
121.09,127.71,Fraxinus excelsior,70
116.74,127.44,Fraxinus excelsior,102
123.23,124.11,Fraxinus excelsior,127
84.74,120.09,Fraxinus excelsior,79
129.13,107.5,Fraxinus excelsior,74
125.92,107.24,Fraxinus excelsior,80
122.8,107.02,Fraxinus excelsior,70
25.66,104.04,Fraxinus excelsior,725
135.2,103.5,Fraxinus excelsior,111
130.18,102.51,Fraxinus excelsior,84
136.41,101.54,Fraxinus excelsior,76
132.4,100.35,Fraxinus excelsior,70
103.01,98.8,Fraxinus excelsior,82
106.34,98.2,Fraxinus excelsior,81
118.45,97.41,Fraxinus excelsior,73
131.56,97.02,Fraxinus excelsior,70
132.74,96.81,Fraxinus excelsior,95
111.66,96.22,Fraxinus excelsior,77
128.97,95.34,Fraxinus excelsior,100
108.55,94.94,Fraxinus excelsior,78
108.51,92.24,Fraxinus excelsior,111
107.34,92.2,Fraxinus excelsior,117
107.2,91.82,Fraxinus excelsior,71
114.06,91.37,Fraxinus excelsior,101
112.23,91.37,Fraxinus excelsior,77
104.99,89.86,Fraxinus excelsior,109
113.04,89.82,Fraxinus excelsior,90
109.01,89.46,Fraxinus excelsior,74
112.29,88.79,Fraxinus excelsior,103
132.45,88.73,Fraxinus excelsior,113
110.52,88.67,Fraxinus excelsior,106
102.47,86.94,Fraxinus excelsior,105
128.26,86.51,Fraxinus excelsior,610
100.24,83.42,Fraxinus excelsior,89
104.77,82.6,Fraxinus excelsior,80
106.09,82.4,Fraxinus excelsior,79
120.33,79.36,Fraxinus excelsior,684
99.94,78.41,Fraxinus excelsior,92
134.63,71.72,Fraxinus excelsior,84
38.55,70.93,Fraxinus excelsior,76
133.74,70.12,Fraxinus excelsior,70
56.79,69.76,Fraxinus excelsior,107
68.27,69.15,Fraxinus excelsior,104
59.22,68.36,Fraxinus excelsior,72
57.66,68.27,Fraxinus excelsior,83
54.56,67.86,Fraxinus excelsior,75
69.66,67.7,Fraxinus excelsior,91
61.23,66.23,Fraxinus excelsior,74
59.8,65.77,Fraxinus excelsior,91
117.89,65.43,Fraxinus excelsior,621
54.6,65.17,Fraxinus excelsior,91
58.08,63.29,Fraxinus excelsior,76
56.65,63.21,Fraxinus excelsior,86
55.06,62.96,Fraxinus excelsior,71
57.9,62.47,Fraxinus excelsior,95
55.81,62.21,Fraxinus excelsior,75
84.3,61.63,Fraxinus excelsior,116
85.44,59.6,Fraxinus excelsior,136
116.58,59.5,Fraxinus excelsior,78
61.96,59.15,Fraxinus excelsior,98
90.04,58.79,Fraxinus excelsior,105
82.25,57.37,Fraxinus excelsior,120
82.63,55.46,Fraxinus excelsior,82
85.21,51.73,Fraxinus excelsior,127
100.03,51.28,Fraxinus excelsior,627
86.05,50.44,Fraxinus excelsior,83
79.22,49.42,Fraxinus excelsior,94
83.37,48.82,Fraxinus excelsior,75
90.27,48.67,Fraxinus excelsior,115
102.98,48.15,Fraxinus excelsior,77
97.17,47.06,Fraxinus excelsior,119
152.03,47.05,Fraxinus excelsior,675
143,36.62,Fraxinus excelsior,569
99.53,36.37,Fraxinus excelsior,70
100.08,34.09,Fraxinus excelsior,77
98.6,28.23,Fraxinus excelsior,101
101.39,27.9,Fraxinus excelsior,96
101.65,24.09,Fraxinus excelsior,106
98.47,24.08,Fraxinus excelsior,111
103.37,20.85,Fraxinus excelsior,77
99.16,19.98,Fraxinus excelsior,120
97.65,19.66,Fraxinus excelsior,73
151.05,144.06,Acer campestre,118
78.37,54.1,Acer campestre,151
64.67,53.06,Acer campestre,80
96.99,51.91,Acer campestre,97
98.74,50.17,Acer campestre,72
77.18,49.75,Acer campestre,111
95.53,49.35,Acer campestre,89
83.24,43.39,Acer campestre,111
97.44,40.47,Acer campestre,145
64.16,32.38,Acer campestre,91
102.43,159.46,Picea abies,568
91.26,103.18,Picea abies,608
35.42,32.6,Picea abies,463
144.95,34.18,Carpinus betulus,205
95.48,142.69,Prunus avium,71
148.08,99.96,Prunus avium,73
134.89,97.66,Prunus avium,174
131.9,95.16,Prunus avium,106
135.6,93.82,Prunus avium,98
131.8,93.31,Prunus avium,142
144.64,92.1,Prunus avium,435
136.64,90.69,Prunus avium,132
114.62,83.54,Prunus avium,146
72.75,83.25,Prunus avium,117
144.81,79.72,Prunus avium,93
75.37,79.29,Prunus avium,96
123.94,73.25,Prunus avium,82
141.07,153.43,Acer platanoides,150
155.76,152.93,Acer platanoides,79
146.18,149.76,Acer platanoides,74
118.29,141.55,Acer platanoides,189
144.59,132.99,Acer platanoides,145
119.91,129.19,Acer platanoides,80
87.48,125.5,Acer platanoides,104
87.28,122.78,Acer platanoides,118
89.87,120.69,Acer platanoides,122
103.34,119.04,Acer platanoides,110
139.81,115.41,Acer platanoides,122
140.31,114.79,Acer platanoides,122
83.38,112.71,Acer platanoides,78
88.31,111.77,Acer platanoides,82
82.65,106.81,Acer platanoides,102
121.38,105.91,Acer platanoides,109
132.11,105.44,Acer platanoides,158
154.14,95.48,Acer platanoides,117
117.09,94.62,Acer platanoides,118
137.94,94.16,Acer platanoides,153
138.11,94,Acer platanoides,107
151.55,92.63,Acer platanoides,134
121.35,92.6,Acer platanoides,120
144.79,91.6,Acer platanoides,139
124.16,90.04,Acer platanoides,77
128.64,89.57,Acer platanoides,129
137.01,89,Acer platanoides,162
133.18,87.59,Acer platanoides,119
122.27,87.38,Acer platanoides,83
122.95,86.4,Acer platanoides,89
121.44,86.35,Acer platanoides,130
140.45,86.28,Acer platanoides,168
59.2,85.76,Acer platanoides,91
68.56,85.09,Acer platanoides,125
136.29,84.76,Acer platanoides,149
124.72,84.47,Acer platanoides,70
70.69,78.5,Acer platanoides,101
134.47,78.25,Acer platanoides,89
134.85,78.05,Acer platanoides,91
91.13,77.21,Acer platanoides,163
56.74,75.25,Acer platanoides,97
132.87,75.06,Acer platanoides,70
156.07,74.37,Acer platanoides,116
133.27,73.96,Acer platanoides,70
61.23,69.58,Acer platanoides,103
75.08,68.21,Acer platanoides,78
107.15,68.05,Acer platanoides,128
117.81,67.8,Acer platanoides,70
43.1,67,Acer platanoides,130
35.43,66.11,Acer platanoides,77
81.96,65.95,Acer platanoides,106
83.71,65.58,Acer platanoides,140
19.51,64.37,Acer platanoides,79
26.67,63.94,Acer platanoides,74
107.43,63.78,Acer platanoides,115
42.17,63.43,Acer platanoides,110
115.38,63.28,Acer platanoides,77
18.36,63.09,Acer platanoides,86
43.52,62.02,Acer platanoides,119
39.7,61.28,Acer platanoides,82
55.2,60.69,Acer platanoides,108
69.48,58.49,Acer platanoides,100
64.83,57.66,Acer platanoides,137
59.96,57.1,Acer platanoides,153
34.15,56.78,Acer platanoides,95
71.05,56.58,Acer platanoides,99
120.65,56.39,Acer platanoides,84
65.65,56.21,Acer platanoides,190
120.68,55.98,Acer platanoides,116
121.82,55.82,Acer platanoides,124
42.02,55.65,Acer platanoides,76
71.69,55.46,Acer platanoides,86
118.88,54.61,Acer platanoides,131
65.59,53.82,Acer platanoides,75
63.17,53.44,Acer platanoides,100
136.95,52.98,Acer platanoides,92
76.17,52.77,Acer platanoides,147
143.21,51.99,Acer platanoides,73
34.69,51.71,Acer platanoides,80
34.31,51.57,Acer platanoides,81
69.08,49.6,Acer platanoides,83
61.51,49.18,Acer platanoides,176
63.29,48.9,Acer platanoides,158
63.38,48.51,Acer platanoides,145
76.63,48.23,Acer platanoides,116
114.01,47.29,Acer platanoides,85
15.95,47.27,Acer platanoides,118
113.17,46.61,Acer platanoides,128
120.54,46.1,Acer platanoides,110
49.67,46.04,Acer platanoides,92
47.53,45.51,Acer platanoides,80
132.95,43.19,Acer platanoides,93
140.15,42.81,Acer platanoides,72
99.46,42.55,Acer platanoides,96
135.75,42.43,Acer platanoides,73
113.88,42.43,Acer platanoides,171
133.2,42.31,Acer platanoides,76
57.07,42.27,Acer platanoides,143
124.98,42.25,Acer platanoides,92
126.39,41.66,Acer platanoides,96
100.69,41.47,Acer platanoides,75
138.53,41.33,Acer platanoides,74
123.39,40.07,Acer platanoides,76
138.75,40.02,Acer platanoides,70
132.88,39.58,Acer platanoides,78
14.43,39.56,Acer platanoides,99
121.42,39.16,Acer platanoides,155
117.53,39.09,Acer platanoides,80
101.86,38.87,Acer platanoides,75
116.75,38.65,Acer platanoides,76
94.29,38.36,Acer platanoides,99
130.05,38.09,Acer platanoides,113
60.84,37.77,Acer platanoides,112
119.37,37.5,Acer platanoides,83
128.28,37.46,Acer platanoides,86
136.4,36.9,Acer platanoides,92
61.37,36.61,Acer platanoides,141
16.57,36.51,Acer platanoides,110
119.49,36.31,Acer platanoides,100
118.43,36,Acer platanoides,141
124.52,35.08,Acer platanoides,130
136.88,34.87,Acer platanoides,72
134.38,34.82,Acer platanoides,96
96.62,34.72,Acer platanoides,78
122.49,33.98,Acer platanoides,108
124.75,33.38,Acer platanoides,113
56.47,33.18,Acer platanoides,81
119.92,33.1,Acer platanoides,101
43.2,32.71,Acer platanoides,117
129.53,32.39,Acer platanoides,130
43.46,32.38,Acer platanoides,114
107.54,32.34,Acer platanoides,137
5.37,31.94,Acer platanoides,103
135.66,31.92,Acer platanoides,88
125.33,31.77,Acer platanoides,137
63.53,31.55,Acer platanoides,82
134.53,31.23,Acer platanoides,74
38.38,31.15,Acer platanoides,147
131.4,30.73,Acer platanoides,74
131.52,30.6,Acer platanoides,86
120.95,30.44,Acer platanoides,146
135.51,30.05,Acer platanoides,148
131.75,29.66,Acer platanoides,79
136.45,28.83,Acer platanoides,85
133.25,28.81,Acer platanoides,120
129.66,28.27,Acer platanoides,135
25.78,27.76,Acer platanoides,153
134.43,27.65,Acer platanoides,88
134.31,27.61,Acer platanoides,90
135.49,26.43,Acer platanoides,81
21.4,25.93,Acer platanoides,133
32.32,25.87,Acer platanoides,142
109.32,25.73,Acer platanoides,87
132.41,24.99,Acer platanoides,78
129.93,24.8,Acer platanoides,79
118.71,23.71,Acer platanoides,82
64.07,23.34,Acer platanoides,135
19.03,23.01,Acer platanoides,121
114.79,22.9,Acer platanoides,130
35.24,22.87,Acer platanoides,110
109.31,22.82,Acer platanoides,113
17.6,22.81,Acer platanoides,182
110.01,22.34,Acer platanoides,135
80.83,22.32,Acer platanoides,82
118.41,22.15,Acer platanoides,82
107.89,21.79,Acer platanoides,125
134.72,21.15,Acer platanoides,99
138.7,21.06,Acer platanoides,72
135.12,21,Acer platanoides,159
113.15,20.6,Acer platanoides,117
133.18,20.08,Acer platanoides,73
18.85,18.94,Acer platanoides,202
108.13,17.9,Acer platanoides,84
39.05,17.29,Acer platanoides,160
137.52,16.63,Acer platanoides,70
134.76,16.37,Acer platanoides,99
15.27,16.18,Acer platanoides,157
135.5,16.11,Acer platanoides,105
16.44,15.57,Acer platanoides,159
136.72,15.32,Acer platanoides,80
105.29,14.63,Acer platanoides,100
4.69,14.1,Acer platanoides,96
13.09,13.67,Acer platanoides,97
106.32,12.85,Acer platanoides,152
109.64,11.57,Acer platanoides,149
12.31,10.85,Acer platanoides,103
93.8,10.36,Acer platanoides,135
17.22,10.09,Acer platanoides,147
11.13,10.05,Acer platanoides,105
53.01,9.94,Acer platanoides,650
17.12,9.82,Acer platanoides,130
18.36,9.63,Acer platanoides,163
14.46,9.15,Acer platanoides,132
122.24,8.66,Acer platanoides,85
97.35,8.19,Acer platanoides,142
114.28,8.03,Acer platanoides,184
25.75,7.94,Acer platanoides,276
115.21,7.66,Acer platanoides,103
14.9,7.3,Acer platanoides,139
75.77,6.65,Acer platanoides,143
100.91,6.49,Acer platanoides,114
139.95,6.41,Acer platanoides,137
94.18,5.66,Acer platanoides,120
100.35,4.82,Acer platanoides,101
100.01,127.02,Quercus petraea,506
104.11,120.39,Quercus petraea,475
153.49,118.94,Quercus petraea,593
49.45,106.6,Quercus petraea,545
84.38,97.6,Quercus petraea,500
114.88,65.22,Quercus petraea,472
72.06,23.85,Quercus petraea,597
